Process_ID,Interval,Layer,Sv_mean,NASC,Layer_depth_min,Layer_depth_max,Ping_S,Dist_S,Date_S,Time_S,Lat_M,Lon_M,Frequency
3966,2497997,45,-999.000000,0.000000,220.000000,225.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,46,-999.000000,0.000000,225.000000,230.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,47,-999.000000,0.000000,230.000000,235.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,48,-999.000000,0.000000,235.000000,240.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497998,5,-79.967455,2.186592,20.000000,25.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,6,-77.059634,4.113006,25.000000,30.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,7,-74.567119,7.582306,30.000000,35.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,8,-79.465140,2.454704,35.000000,40.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,9,-80.884749,1.770265,40.000000,45.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,10,-84.220753,0.821179,45.000000,50.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,11,-86.479168,0.470117,50.000000,55.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,12,-87.739725,0.365208,55.000000,60.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,13,-88.730031,0.290744,60.000000,65.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,14,-88.714955,0.291755,65.000000,70.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,15,-96.699386,0.046406,70.000000,75.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,16,-98.643194,0.028563,75.000000,80.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,17,-95.557255,0.060365,80.000000,85.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,18,-93.408786,0.099000,85.000000,90.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,19,-95.193262,0.065643,90.000000,95.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,20,-102.107486,0.013359,95.000000,100.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,21,-101.673697,0.014762,100.000000,105.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
